,name,birthDate
400,Boorda Jeremy M,1939-11-26
401,Boot Max,1969-09-12
402,Boras Scott,1952-11-02
403,Borge Victor,1909-01-03
404,Bork Robert H,1927-03-01
405,Borodin Pavel P,1946-10-25
406,Borodina Olga,1963-07-29
407,Bosco Philip,1930-09-26
408,Bossi Umberto,1941-09-19
409,Bossidy Lawrence A,1935-03-05
410,Bostridge Ian,1964-12-25
411,Botha Francois,1968-09-28
412,Botha P W,1916-01-12
413,Botstein Leon,1946-12-14
414,Bouchard Lucien,1938-12-22
415,Boudin Kathy,1943-05-19
416,Boudreaux Donald J,1958-01-01
417,Bouley David,1953-05-27
418,Boulez Pierre,1925-03-26
419,Boulud Daniel,1955-03-25
420,Bourgeois Louise,1911-12-25
421,Bourne Matthew,1960-01-13
422,Bourque Ray,1960-12-28
423,Bouteflika Abdelaziz,1937-03-02
424,Bouton Jim,1939-03-08
425,Boutros-Ghali Boutros,1922-11-14
426,Bowden Bobby,1929-11-08
427,Bowe Riddick,1967-08-10
428,Bowen William G,1933-10-06
429,Bowie David,1947-01-08
430,Bowles Erskine B,1945-08-08
431,Bowman Scotty,1933-09-18
432,Boxer Barbara,1940-11-11
433,Boyle Danny,1956-10-20
434,Boyle T Coraghessan,1948-12-02
435,Bracco Lorraine,1954-10-02
436,Bradbury Ray,1920-08-22
437,Bradley Bill,1943-07-28
438,Brady James S,1940-08-29
439,Brady Tom,1977-08-03
440,Brafman Benjamin,1948-07-21
441,Bragman Michael J,1940-08-11
442,Brahimi Lakhdar,1934-01-01
443,Brahms Johannes,1833-05-07
444,Branagh Kenneth,1960-12-10
445,Branca Ralph,1926-01-06
446,Brand Elton,1979-03-11
447,Brand Myles,1942-05-17
448,Brando Marlon,1924-04-03
449,Branson Richard,1950-07-18
450,Brantley Ben,1954-10-26
451,Bratton William J,1947-10-06
452,Braunstein Peter,1964-01-26
453,Brawley Tawana,1972-01-01
454,Breaux John B,1944-03-01
455,Brecht Bertolt,1898-02-10
456,Breeden Richard C,1949-12-06
457,Bremer L Paul III,1941-09-30
458,Brendel Alfred,1931-01-05
459,Brennan Robert E,1944-01-01
460,Breslin Jimmy,1930-10-17
461,Breyer Stephen G,1938-08-15
462,Bridges Jeff,1949-12-04
463,Briggs Shannon,1971-12-04
464,Brin Sergey,1973-08-21
465,Brinkema Leonie M,1944-06-26
466,Brinkley David,1920-07-10
467,Brinkley Douglas,1960-12-14
468,Britten Benjamin,1913-11-22
469,Broad Eli,1933-06-06
470,Broad William J,1951-03-07
471,Brock David,1962-11-02
472,Broderick Matthew,1962-03-21
473,Brodeur Martin,1972-05-06
474,Brodsky Joseph,1940-05-24
475,Brodsky Richard L,1946-11-18
476,Brody Adrien,1973-04-14
477,Brody Jane E,1941-05-19
478,Brokaw Tom,1940-02-06
479,Bronfman Yefim,1958-04-10
480,Bronner Ethan,1954-01-01
481,Brook Peter,1925-03-21
482,Brookhiser Richard,1955-02-23
483,Brookner Anita,1928-07-16
484,Brooks Albert,1947-07-22
485,Brooks Garth,1962-02-07
486,Brooks Herb,1937-08-05
487,Brooks Mel,1926-06-28
488,Brosius Scott,1966-08-15
489,Brosnan Pierce,1953-05-16
490,Broussard Chris,1968-10-28
491,Brown Blair,1947-04-23
492,Brown Dan,1964-06-22
493,Brown David M,1956-04-16
494,Brown Gordon,1951-02-20
495,Brown James,1933-05-03
496,Brown Janice Rogers,1949-05-11
497,Brown Jason Robert,1970-06-20
498,Brown Lee P,1937-10-04
499,Brown Tina,1953-11-21
500,Brown Trisha,1936-11-25
501,Brownback Sam,1956-09-12
502,Browner Carol M,1955-12-16
503,Bruce Lenny,1925-10-13
504,Bruckheimer Jerry,1943-09-21
505,Bruckner D J R,1933-11-26
506,Bruguera Sergi,1971-01-16
507,Brundtland Gro Harlem,1939-04-20
508,Brunell Mark,1970-09-17
509,Bruni Frank,1964-10-31
510,Bruno Joseph L,1929-04-08
511,Brustein Robert,1927-04-21
512,Bruton John,1947-05-18
513,Bryant Kobe,1978-08-23
514,Bryson Bill,1951-12-08
515,Brzezinski Zbigniew,1928-03-28
516,Buchanan Patrick J,1938-11-02
517,Buchwald Art,1925-10-20
518,Buckley Betty,1947-07-03
519,Budig Gene,1939-05-25
520,Buffett Jimmy,1946-12-25
521,Buffett Warren E,1930-08-30
522,Bullock Sandra,1964-07-26
523,Bumiller Elisabeth,1956-05-15
524,Bumpers Dale,1925-08-12
525,Bunning Jim,1931-10-23
526,Bure Pavel,1971-03-31
527,Burk Martha,1941-10-18
528,Burke James Lee,1936-12-05
529,Burnett Carol,1933-04-26
530,Burnett Mark,1960-07-17
531,Burnitz Jeromy,1969-04-15
532,Burns Conrad,1935-01-25
533,Burns Edward,1968-01-29
534,Burns George,1896-01-20
535,Burns John F,1944-10-04
536,Burns Ken,1953-07-29
537,Burns Ric,1955-01-01
538,Burr Aaron,1756-02-06
539,Burrell Garland Jr,1947-01-01
540,Burress Plaxico,1977-08-12
541,Burris Roland W,1937-08-03
542,Burroughs William S,1914-02-05
543,Burstyn Ellen,1932-12-07
544,Burton Dan,1938-06-21
545,Burton Tim,1958-08-25
546,Buruma Ian,1951-12-28
547,Buscemi Steve,1957-12-13
548,Busch Charles,1954-08-23
549,Busch Kurt,1978-08-04
550,Bush Barbara,1925-06-08
551,Bush George,1924-06-12
552,Bush George W,1946-07-06
553,Bush Jeb,1953-02-11
554,Bush Jenna,1981-11-25
555,Bush Laura,1946-11-04
556,Bush Neil,1955-01-22
557,Bushnell Candace,1958-12-01
558,Bustamante Cruz,1953-01-04
559,Butterfield Fox,1939-01-01
560,Buyoya Pierre,1949-11-24
561,Byatt A S,1936-08-24
562,Byrd Robert C,1917-11-20
563,Byrne David,1952-05-14
564,Byrne Gabriel,1950-05-12
565,bin al-Shibh Ramzi,1972-05-01
566,Cabrera Melky,1984-08-11
567,Caesar Sid,1922-09-08
568,Cage John,1912-09-05
569,Cage Nicolas,1964-01-07
570,Caine Michael,1933-03-14
571,Calame Byron,1939-04-14
572,Calatrava Santiago,1951-07-28
573,Calcavecchia Mark,1960-06-12
574,Calder Alexander,1898-07-22
575,Calderon Felipe,1962-08-18
576,Calhoun Jim,1942-05-10
577,Calipari John,1959-02-10
578,Callas Maria,1923-12-02
579,Callaway Ann Hampton,1958-05-30
580,Camacho Hector,1962-05-24
581,Camby Marcus,1974-03-22
582,Camdessus Michel,1933-05-01
583,Cameron David,1966-10-09
584,Cameron James,1954-08-16
585,Cameron Mike,1973-01-08
586,Campbell Ben Nighthorse,1933-04-13
587,Campion Jane,1954-04-30
588,Camus Albert,1913-11-07
589,Canada Geoffrey,1952-01-13
590,Canady Charles T,1954-06-22
591,Cano Robinson,1982-10-22
592,Canseco Jose,1964-07-02
593,Cantwell Maria,1958-10-13
594,Cantwell Mary,1930-01-01
595,Capellas Michael D,1955-08-19
596,Capote Truman,1924-09-30
597,Capriati Jennifer,1976-03-29
598,Caputo Philip,1941-06-10
599,Caray Harry,1914-03-01
600,Card Andrew H Jr,1947-05-10
601,Cardenas Cuauhtemoc,1934-05-01
602,Cardinale Gerald,1934-02-27
603,Cardoso Fernando Henrique,1931-06-18
604,Carell Steve,1962-08-16
605,Carey Benedict,1960-03-03
606,Carey Hugh L,1919-04-11
607,Carey Mariah,1969-03-27
608,Carlesimo P J,1949-05-30
609,Carlin George,1937-05-12
610,Carlson Tucker,1969-05-16
611,Carnahan Jean,1933-12-20
612,Carnahan Mel,1934-02-11
613,Carnegie Andrew,1835-11-25
614,Caro Robert A,1935-10-30
615,Carollo Joe,1955-03-11
616,Carper Thomas R,1947-01-23
617,Carr Caleb,1955-08-02
618,Carr David,1979-07-21
619,Carreras Jose,1946-12-05
620,Carrey Jim,1962-01-17
621,Carruth Rae,1974-01-20
622,Carson Johnny,1925-10-23
623,Carter Benny,1907-08-08
624,Carter Elliott,1908-12-11
625,Carter Graydon,1949-07-14
626,Carter Jimmy,1924-10-01
627,Carter Quincy,1977-10-13
628,Carter Rosalynn,1927-08-18
629,Carter Rubin,1937-05-06
630,Carter Stephen L,1954-10-26
631,Carter Vince,1977-01-26
632,Cartier-Bresson Henri,1908-08-22
633,Carty Donald J,1946-01-01
634,Caruso David,1956-01-07
635,Caruso Enrico,1873-02-25
636,Carver Raymond,1938-05-25
637,Carville James,1944-10-25
638,Case Stephen M,1958-08-21
639,Cash Johnny,1930-02-26
640,Cashman Brian,1967-07-03
641,Cassatt Mary,1844-05-22
642,Cassell Sam,1969-11-18
643,Castelli Leo,1907-09-04
644,Castle Michael N,1939-07-02
645,Castro Bernadette,1944-01-01
646,Castro Fidel,1926-08-13
647,Castroneves Helio,1975-05-10
648,Cather Willa,1873-12-07
649,Causey Richard A,1960-01-09
650,Cavallo Domingo,1946-07-21
651,Cavett Dick,1936-11-19
652,Cayard Paul,1959-05-19
653,Cayne James E,1934-02-14
654,Ceausescu Nicolae,1918-01-26
655,Cedarbaum Miriam Goldman,1929-09-16
656,Cedeno Roger,1974-08-16
657,Cellucci Paul,1948-04-24
658,Chabon Michael,1963-05-24
659,Chabrol Claude,1930-06-24
660,Chafee John H,1922-10-22
661,Chafee Lincoln,1953-03-26
662,Chagall Marc,1887-07-07
663,Chailly Riccardo,1953-02-20
664,Chalabi Ahmad,1944-10-30
665,Chalayan Hussein,1970-08-12
666,Chalfant Kathleen,1945-01-14
667,Chamberlain Joba,1985-09-23
668,Chamberlain Wilt,1936-08-21
669,Chambliss Chris,1948-12-26
670,Chambliss Saxby,1943-11-10
671,Chan Jackie,1954-04-07
672,Chan Sewell,1977-01-01
673,Chandler Raymond,1888-07-23
674,Chaney Don,1946-03-22
675,Chaney James,1943-05-30
676,Chang Michael,1972-02-22
677,Channing Carol,1921-01-31
678,Channing Stockard,1944-02-13
679,Chao Elaine L,1953-03-26
680,Chaplin Charlie,1889-04-16
681,Charles Ray,1930-09-23
682,Charyn Jerome,1937-05-13
683,Chase Chevy,1942-09-10
684,Chass Murray,1938-10-12
685,Chaudhry Iftikhar Muhammad,1948-12-12
686,Chavez Julio Cesar,1962-07-12
687,Chavez Linda,1947-06-17
688,Chavis Benjamin F Jr,1948-01-22
689,Chawla Kalpana,1962-03-17
690,Cheadle Don,1964-11-29
691,Checketts Dave,1956-01-01
692,Cheever Benjamin,1948-10-08
693,Cheever John,1912-05-27
694,Cheever Susan,1943-07-31
695,Chekhov Anton,1860-01-29
696,Cheney Dick,1941-01-30
697,Cheney Lynne V,1941-08-14
698,Chenoweth Kristin,1968-07-24
699,Chernin Peter,1951-05-29
700,Chernomyrdin Viktor S,1938-04-09
701,Chernow Ron,1949-03-03
702,Cherry Bobby Frank,1930-06-20
703,Chertoff Michael,1953-11-28
704,Chestnut Jacob J,1940-04-28
705,Chiat Jay,1931-10-25
706,Child Julia,1912-08-15
707,Child Lee,1954-10-29
708,Childs David M,1941-04-01
709,Chiles Lawton,1930-04-03
710,Chiluba Frederick,1943-04-30
711,Chin Denny,1954-01-01
712,Chirac Jacques,1932-11-29
713,Chivers C J,1964-01-01
714,Cho Margaret,1968-12-05
715,Cho Seung-Hui,1984-01-18
716,Choate Pat,1941-04-27
717,Chomsky Noam,1928-12-07
718,Chopin Frederic,1810-03-01
719,Chrebet Wayne,1973-08-14
720,Chretien Jean,1934-01-11
721,Christie Agatha,1890-09-15
722,Christie Christopher J,1962-09-06
723,Christie Linford,1960-04-02
724,Christopher Nicholas,1951-01-01
725,Christopher Warren M,1925-10-27
726,Chu Steven,1948-02-28
727,Chubais Anatoly B,1955-06-16
728,Chung Connie,1946-08-20
729,Chung Johnny,1955-01-01
730,Churchill Caryl,1938-09-03
731,Churchill Winston Leonard Spencer,1874-11-30
732,Ciampi Carlo Azeglio,1920-12-09
733,Cianci Vincent Jr,1941-04-30
734,Ciller Tansu,1946-05-24
735,Cink Stewart,1973-05-21
736,Cipel Golan,1968-01-01
737,Cipollini Mario,1967-03-22
738,Cisneros Henry G,1947-06-11
739,Claiborne Craig,1920-09-04
740,Clancy Tom,1947-04-12
741,Clapton Eric,1945-03-30
742,Clarett Maurice,1983-10-29
743,Clark Dick,1929-11-30
744,Clark Laurel Salton,1961-03-10
745,Clark Mary Ellen,1962-12-25
746,Clark Mary Higgins,1927-12-24
747,Clark Wesley K,1944-12-23
748,Clarke Arthur C,1917-12-16
749,Clarke Richard A,1950-10-27
750,Clarkson Kelly,1982-04-24
751,Claybrook Joan,1937-06-12
752,Cleland Max,1942-08-24
753,Clemens Roger,1962-08-04
754,Clemens Samuel Langhorne,1835-11-30
755,Cliburn Van,1934-07-12
756,Clijsters Kim,1983-06-08
757,Clinton Bill,1946-08-19
758,Clinton Chelsea,1980-02-27
759,Clinton Hillary Rodham,1947-10-26
760,Clooney George,1961-05-06
761,Clooney Rosemary,1928-05-23
762,Close Chuck,1940-07-05
763,Close Glenn,1947-03-19
764,Cobain Kurt,1967-02-20
765,Cobb Ty,1886-12-18
766,Coburn Tom,1948-03-14
767,Cochran Johnnie L Jr,1937-10-02
768,Cochran Thad,1937-12-07
769,Cocteau Jean,1889-07-05
770,Codey Richard J,1946-11-27
771,Coelho Tony,1942-06-15
772,Coetzee J M,1940-02-09
773,Coetzer Amanda,1971-10-22
774,Cohen Abby Joseph,1952-01-01
775,Cohen Leonard,1934-09-21
776,Cohen Roger,1955-08-02
777,Cohen Sasha,1984-10-26
778,Cohen William S,1940-08-28
779,Colangelo Jerry,1939-11-20
780,Colbert Stephen,1964-05-13
781,Colby William E,1920-01-04
782,Coleman Cy,1929-06-14
